onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
46.5	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
49.5	1.5	ANTITARG	12AV	214	2	ERROR_CORRECTED	0.35
54.0	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
57.0	1.5	ANTITARG	12AV	633	2	ERROR_CORRECTED	0.25
61.5	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
64.5	1.5	ANTITARG	12AV	108	1	CORRECT	0.517
69.0	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
72.0	1.5	ANTITARG	12AV	108	2	ERROR_CORRECTED	0.533
76.5	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
79.5	1.5	ANTITARG	12AV	7	1	CORRECT	0.367
84.0	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
87.0	1.5	ANTITARG	12AV	214	2	ERROR_CORRECTED	0.4
94.5	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
97.5	1.5	ANTITARG	12AV	7	1	CORRECT	0.65
105.0	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
108.0	1.5	ANTITARG	12AV	532	1	CORRECT	0.433
112.5	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
115.5	1.5	ANTITARG	12AV	633	1	CORRECT	0.683
123.0	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
126.0	1.5	ANTITARG	12AV	426	2	ERROR_CORRECTED	0.267
130.5	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
133.5	1.5	ANTITARG	12AV	532	1	CORRECT	0.5
144.0	3.0	ANTICUE	12AV	n/a	n/a	n/a	n/a
147.0	1.5	ANTITARG	12AV	426	1	CORRECT	0.833
214.5	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
217.5	1.5	VGSTARG	12AV	214	1	CORRECT	0.417
228.0	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
231.0	1.5	VGSTARG	12AV	108	1	CORRECT	0.2
235.5	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
238.5	1.5	VGSTARG	12AV	426	1	CORRECT	0.433
243.0	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
246.0	1.5	VGSTARG	12AV	532	1	CORRECT	0.4
253.5	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
256.5	1.5	VGSTARG	12AV	633	1	CORRECT	0.317
261.0	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
264.0	1.5	VGSTARG	12AV	7	1	CORRECT	0.533
268.5	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
271.5	1.5	VGSTARG	12AV	7	1	CORRECT	0.4
276.0	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
279.0	1.5	VGSTARG	12AV	108	1	CORRECT	0.333
286.5	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
289.5	1.5	VGSTARG	12AV	633	1	CORRECT	0.383
294.0	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
297.0	1.5	VGSTARG	12AV	214	1	CORRECT	0.2
301.5	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
304.5	1.5	VGSTARG	12AV	532	1	CORRECT	0.383
315.0	3.0	VGSCUE	12AV	n/a	n/a	n/a	n/a
318.0	1.5	VGSTARG	12AV	426	1	CORRECT	0.417
