onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
40.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
43.5	1.5	VGSTARG	08VA	426	1	CORRECT	0.417
48.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
51.0	1.5	VGSTARG	08VA	532	1	CORRECT	0.367
55.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
58.5	1.5	VGSTARG	08VA	214	1	CORRECT	0.4
63.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
66.0	1.5	VGSTARG	08VA	214	1	CORRECT	0.4
70.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
73.5	1.5	VGSTARG	08VA	7	1	CORRECT	0.333
78.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
81.0	1.5	VGSTARG	08VA	426	1	CORRECT	0.317
91.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
94.5	1.5	VGSTARG	08VA	7	1	CORRECT	0.333
99.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
102.0	1.5	VGSTARG	08VA	633	1	CORRECT	0.317
109.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
112.5	1.5	VGSTARG	08VA	108	1	CORRECT	0.3
117.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
120.0	1.5	VGSTARG	08VA	532	1	CORRECT	0.367
130.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
133.5	1.5	VGSTARG	08VA	633	1	CORRECT	0.333
141.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
144.0	1.5	VGSTARG	08VA	108	1	CORRECT	0.483
214.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
217.5	1.5	ANTITARG	08VA	633	1	CORRECT	0.517
228.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
231.0	1.5	ANTITARG	08VA	633	1	CORRECT	0.5
235.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
238.5	1.5	ANTITARG	08VA	7	0	INCORRECT	0.333
246.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
249.0	1.5	ANTITARG	08VA	532	0	INCORRECT	0.417
253.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
256.5	1.5	ANTITARG	08VA	214	1	CORRECT	0.433
261.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
264.0	1.5	ANTITARG	08VA	7	1	CORRECT	0.517
268.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
271.5	1.5	ANTITARG	08VA	108	1	CORRECT	0.433
276.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
279.0	1.5	ANTITARG	08VA	426	1	CORRECT	0.533
283.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
286.5	1.5	ANTITARG	08VA	108	1	CORRECT	0.517
294.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
297.0	1.5	ANTITARG	08VA	426	1	CORRECT	0.483
301.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
304.5	1.5	ANTITARG	08VA	532	1	CORRECT	0.667
315.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
318.0	1.5	ANTITARG	08VA	214	0	INCORRECT	0.433
