onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
48.0	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
51.0	1.5	ANTITARG	09AV	214	1	CORRECT	0.733
55.5	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
58.5	1.5	ANTITARG	09AV	426	1	CORRECT	0.4
63.0	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
66.0	1.5	ANTITARG	09AV	633	-1	DROP	-0.001
70.5	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
73.5	1.5	ANTITARG	09AV	532	-1	DROP	-0.001
81.0	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
84.0	1.5	ANTITARG	09AV	532	1	CORRECT	0.433
91.5	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
94.5	1.5	ANTITARG	09AV	108	1	CORRECT	0.4
99.0	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
102.0	1.5	ANTITARG	09AV	7	1	CORRECT	0.433
106.5	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
109.5	1.5	ANTITARG	09AV	108	1	CORRECT	0.383
114.0	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
117.0	1.5	ANTITARG	09AV	633	1	CORRECT	0.667
124.5	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
127.5	1.5	ANTITARG	09AV	7	1	CORRECT	0.417
138.0	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
141.0	1.5	ANTITARG	09AV	214	2	ERROR_CORRECTED	0.45
145.5	3.0	ANTICUE	09AV	n/a	n/a	n/a	n/a
148.5	1.5	ANTITARG	09AV	426	2	ERROR_CORRECTED	0.35
219.0	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
222.0	1.5	VGSTARG	09AV	214	1	CORRECT	0.317
226.5	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
229.5	1.5	VGSTARG	09AV	108	1	CORRECT	0.45
234.0	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
237.0	1.5	VGSTARG	09AV	633	1	CORRECT	0.35
247.5	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
250.5	1.5	VGSTARG	09AV	7	1	CORRECT	0.317
255.0	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
258.0	1.5	VGSTARG	09AV	214	1	CORRECT	0.4
265.5	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
268.5	1.5	VGSTARG	09AV	426	1	CORRECT	0.417
273.0	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
276.0	1.5	VGSTARG	09AV	532	1	CORRECT	0.467
280.5	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
283.5	1.5	VGSTARG	09AV	532	1	CORRECT	0.367
291.0	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
294.0	1.5	VGSTARG	09AV	7	1	CORRECT	0.333
298.5	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
301.5	1.5	VGSTARG	09AV	108	1	CORRECT	0.35
306.0	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
309.0	1.5	VGSTARG	09AV	633	1	CORRECT	0.317
316.5	3.0	VGSCUE	09AV	n/a	n/a	n/a	n/a
319.5	1.5	VGSTARG	09AV	426	1	CORRECT	0.25
