onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
45.0	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
48.0	1.5	VGSTARG	07VA	532	1	CORRECT	0.3
58.5	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
61.5	1.5	VGSTARG	07VA	108	1	CORRECT	0.3
66.0	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
69.0	1.5	VGSTARG	07VA	426	1	CORRECT	0.267
73.5	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
76.5	1.5	VGSTARG	07VA	214	1	CORRECT	0.317
81.0	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
84.0	1.5	VGSTARG	07VA	7	1	CORRECT	0.283
88.5	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
91.5	1.5	VGSTARG	07VA	426	1	CORRECT	0.283
99.0	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
102.0	1.5	VGSTARG	07VA	108	1	CORRECT	0.317
106.5	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
109.5	1.5	VGSTARG	07VA	633	1	CORRECT	0.283
114.0	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
117.0	1.5	VGSTARG	07VA	532	1	CORRECT	0.3
121.5	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
124.5	1.5	VGSTARG	07VA	633	1	CORRECT	0.3
135.0	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
138.0	1.5	VGSTARG	07VA	214	1	CORRECT	0.283
145.5	3.0	VGSCUE	07VA	n/a	n/a	n/a	n/a
148.5	1.5	VGSTARG	07VA	7	1	CORRECT	0.317
211.5	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
214.5	1.5	ANTITARG	07VA	214	1	CORRECT	0.467
219.0	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
222.0	1.5	ANTITARG	07VA	426	1	CORRECT	0.517
232.5	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
235.5	1.5	ANTITARG	07VA	7	1	CORRECT	0.5
240.0	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
243.0	1.5	ANTITARG	07VA	108	1	CORRECT	0.45
247.5	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
250.5	1.5	ANTITARG	07VA	532	1	CORRECT	0.483
255.0	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
258.0	1.5	ANTITARG	07VA	426	1	CORRECT	0.517
268.5	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
271.5	1.5	ANTITARG	07VA	214	1	CORRECT	0.567
276.0	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
279.0	1.5	ANTITARG	07VA	633	2	ERROR_CORRECTED	0.333
283.5	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
286.5	1.5	ANTITARG	07VA	633	1	CORRECT	0.667
294.0	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
297.0	1.5	ANTITARG	07VA	7	1	CORRECT	0.5
301.5	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
304.5	1.5	ANTITARG	07VA	532	1	CORRECT	0.633
309.0	3.0	ANTICUE	07VA	n/a	n/a	n/a	n/a
312.0	1.5	ANTITARG	07VA	108	2	ERROR_CORRECTED	0.233
