onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
43.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
46.5	1.5	VGSTARG	12VA	214	1	CORRECT	0.383
51.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
54.0	1.5	VGSTARG	12VA	532	1	CORRECT	0.317
58.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
61.5	1.5	VGSTARG	12VA	633	1	CORRECT	0.333
69.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
72.0	1.5	VGSTARG	12VA	7	1	CORRECT	0.35
76.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
79.5	1.5	VGSTARG	12VA	7	1	CORRECT	0.383
84.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
87.0	1.5	VGSTARG	12VA	426	1	CORRECT	0.433
94.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
97.5	1.5	VGSTARG	12VA	532	1	CORRECT	0.333
105.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
108.0	1.5	VGSTARG	12VA	108	1	CORRECT	0.417
112.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
115.5	1.5	VGSTARG	12VA	633	-1	DROP	-0.001
126.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
129.0	1.5	VGSTARG	12VA	108	1	CORRECT	0.467
133.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
136.5	1.5	VGSTARG	12VA	426	1	CORRECT	0.45
141.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
144.0	1.5	VGSTARG	12VA	214	1	CORRECT	0.433
213.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
216.0	1.5	ANTITARG	12VA	426	1	CORRECT	0.483
220.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
223.5	1.5	ANTITARG	12VA	426	2	ERROR_CORRECTED	0.483
234.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
237.0	1.5	ANTITARG	12VA	108	-1	DROP	-0.001
247.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
250.5	1.5	ANTITARG	12VA	532	2	ERROR_CORRECTED	0.4
255.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
258.0	1.5	ANTITARG	12VA	7	2	ERROR_CORRECTED	0.417
262.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
265.5	1.5	ANTITARG	12VA	633	1	CORRECT	0.567
270.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
273.0	1.5	ANTITARG	12VA	214	2	ERROR_CORRECTED	0.467
277.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
280.5	1.5	ANTITARG	12VA	633	2	ERROR_CORRECTED	0.383
288.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
291.0	1.5	ANTITARG	12VA	532	2	ERROR_CORRECTED	0.45
295.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
298.5	1.5	ANTITARG	12VA	108	2	ERROR_CORRECTED	0.4
306.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
309.0	1.5	ANTITARG	12VA	214	2	ERROR_CORRECTED	0.417
313.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
316.5	1.5	ANTITARG	12VA	7	1	CORRECT	0.7
